Locus,MHC,Best_EL_Rank,Peptide_Type
1884,HLA-A01:01,4.3268,C
1884,HLA-A03:01,2.7341,C
1884,HLA-B07:02,1.9785,C
1884,HLA-B08:01,4.1824,C
1884,HLA-C07:01,0.7816,C
1884,HLA-C07:02,1.9625,C
4230,HLA-A01:01,0.0704,C
4230,HLA-A03:01,1.9439,C
4230,HLA-B07:02,1.2369,C
4230,HLA-B08:01,8.2583,C
4230,HLA-C07:01,0.6622,C
4230,HLA-C07:02,0.6548,C
6874,HLA-A01:01,3.1836,C
6874,HLA-A03:01,0.1967,C
6874,HLA-B07:02,3.3012,C
6874,HLA-B08:01,0.7854,C
6874,HLA-C07:01,1.4391,C
6874,HLA-C07:02,4.4034,C
8887,HLA-A01:01,3.7315,C
8887,HLA-A03:01,1.4357,C
8887,HLA-B07:02,2.017,C
8887,HLA-B08:01,10.0293,C
8887,HLA-C07:01,1.6655,C
8887,HLA-C07:02,1.3052,C
11521,HLA-A01:01,5.5336,C
11521,HLA-A03:01,3.6943,C
11521,HLA-B07:02,6.0474,C
11521,HLA-B08:01,0.4927,C
11521,HLA-C07:01,2.417,C
11521,HLA-C07:02,0.6028,C
12970,HLA-A01:01,18.266,C
12970,HLA-A03:01,5.3535,C
12970,HLA-B07:02,5.6264,C
12970,HLA-B08:01,0.2943,C
12970,HLA-C07:01,1.0327,C
12970,HLA-C07:02,0.2297,C
13620,HLA-A01:01,1.1133,C
13620,HLA-A03:01,24.56,C
13620,HLA-B07:02,12.6765,C
13620,HLA-B08:01,13.4895,C
13620,HLA-C07:01,15.0789,C
13620,HLA-C07:02,12.9907,C
16210,HLA-A01:01,3.252,C
16210,HLA-A03:01,1.5696,C
16210,HLA-B07:02,0.8666,C
16210,HLA-B08:01,0.5036,C
16210,HLA-C07:01,1.4093,C
16210,HLA-C07:02,0.6242,C
17430,HLA-A01:01,1.4092,C
17430,HLA-A03:01,1.3084,C
17430,HLA-B07:02,4.1971,C
17430,HLA-B08:01,3.9018,C
17430,HLA-C07:01,0.3061,C
17430,HLA-C07:02,0.0637,C
18312,HLA-A01:01,11.3593,C
18312,HLA-A03:01,11.2373,C
18312,HLA-B07:02,24.3226,C
18312,HLA-B08:01,16.9408,C
18312,HLA-C07:01,22.6667,C
18312,HLA-C07:02,24.1667,C
19164,HLA-A01:01,0.7132,C
19164,HLA-A03:01,0.6433,C
19164,HLA-B07:02,7.0103,C
19164,HLA-B08:01,5.358,C
19164,HLA-C07:01,0.6722,C
19164,HLA-C07:02,0.1206,C
21657,HLA-A01:01,0.0616,C
21657,HLA-A03:01,2.5544,C
21657,HLA-B07:02,6.8736,C
21657,HLA-B08:01,21.0345,C
21657,HLA-C07:01,0.442,C
21657,HLA-C07:02,1.0266,C
22675,HLA-A01:01,0.3401,C
22675,HLA-A03:01,0.7422,C
22675,HLA-B07:02,2.5096,C
22675,HLA-B08:01,3.7187,C
22675,HLA-C07:01,1.4941,C
22675,HLA-C07:02,0.9456,C
24112,HLA-A01:01,11.9222,C
24112,HLA-A03:01,1.0507,C
24112,HLA-B07:02,7.2632,C
24112,HLA-B08:01,1.1016,C
24112,HLA-C07:01,1.2634,C
24112,HLA-C07:02,1.6389,C
1884,HLA-A01:01,6.6499,V
1884,HLA-A03:01,5.6327,V
